config,hop,noEntryCnt,stubCnt,loopCnt,total
fail10_test1,1,0,0,0,0
fail10_test2,1,0,0,0,0
fail10_test3,1,0,0,0,0
fail10_test4,1,0,0,0,0
fail10_test5,1,0,0,0,0
