config,hop,module,helloOverhead,DDOverhead,LSROverhead,LSUOverhead,LSACKOverhead,total
fail10_test1,5,0.0.1.1,17980,44896,108,408912,127568,599464
fail10_test1,5,0.0.1.2,17020,63580,504,409076,98728,588908
fail10_test1,5,0.0.1.3,17300,63784,288,380052,99012,560436
fail10_test1,5,0.0.1.4,16768,76004,972,418620,76592,588956
fail10_test1,5,0.0.1.5,17256,67836,72,405840,115280,606284
fail10_test1,5,0.0.1.6,18180,37396,0,404504,131228,591308
fail10_test1,5,0.0.2.1,17936,38392,0,480728,147236,684292
fail10_test1,5,0.0.2.2,17252,50304,288,461984,113464,643292
fail10_test1,5,0.0.2.3,17348,60208,72,405796,114472,597896
fail10_test1,5,0.0.2.4,17940,42196,0,390652,100996,551784
fail10_test1,5,0.0.2.5,17976,50664,36,450676,138196,657548
fail10_test1,5,0.0.2.6,17444,59004,0,480756,135464,692668
fail10_test1,5,0.0.3.1,17688,37492,36,481924,140396,677536
fail10_test1,5,0.0.3.2,17248,68128,36,459976,124752,670140
fail10_test1,5,0.0.3.3,17248,61944,1344,503040,90524,674100
fail10_test1,5,0.0.3.4,17736,45352,0,456608,135288,654984
fail10_test1,5,0.0.3.5,16132,84296,36,466556,115032,682052
fail10_test1,5,0.0.3.6,16804,69200,0,453592,122712,662308
fail10_test1,5,0.0.4.1,18076,30244,1116,524368,106560,680364
fail10_test1,5,0.0.4.2,18376,31356,36,480188,139544,669500
fail10_test1,5,0.0.4.3,17640,45388,0,442008,105232,610268
fail10_test1,5,0.0.4.4,17252,66088,0,460968,131932,676240
fail10_test1,5,0.0.4.5,16512,85376,36,467480,126900,696304
fail10_test1,5,0.0.4.6,17932,44052,0,425868,106852,594704
fail10_test1,5,0.0.5.1,17932,42936,972,555192,113208,730240
fail10_test1,5,0.0.5.2,18132,33752,0,443536,122064,617484
fail10_test1,5,0.0.5.3,17692,55232,0,492196,133728,698848
fail10_test1,5,0.0.5.4,17792,52812,0,496232,148920,715756
fail10_test1,5,0.0.5.5,18228,31208,0,506544,160136,716116
fail10_test1,5,0.0.5.6,17212,64680,0,491176,136024,709092
fail10_test1,5,0.0.6.1,17156,58456,432,464320,120352,660716
fail10_test1,5,0.0.6.2,17060,70136,144,409060,130604,627004
fail10_test1,5,0.0.6.3,16240,96300,324,420088,107536,640488
fail10_test1,5,0.0.6.4,17020,76108,72,407072,129976,630248
fail10_test1,5,0.0.6.5,17448,49732,360,426008,133304,626852
fail10_test1,5,0.0.6.6,17648,44896,0,445940,140920,649404
fail10_test1,5,0.0.7.1,17204,62864,0,476456,129256,685780
fail10_test1,5,0.0.7.2,18612,25232,0,486604,163264,693712
fail10_test1,5,0.0.7.3,16868,83736,216,460840,121616,683276
fail10_test1,5,0.0.7.4,16516,85332,0,438472,126796,667116
fail10_test1,5,0.0.7.5,16820,67688,144,480780,126524,691956
fail10_test1,5,0.0.7.6,17456,62648,0,492668,154768,727540
fail10_test1,5,0.0.8.1,17592,55216,36,488600,147976,709420
fail10_test1,5,0.0.8.2,17836,51828,72,495128,150892,715756
fail10_test1,5,0.0.8.3,16416,90736,36,476132,124780,708100
fail10_test1,5,0.0.8.4,16616,85328,0,470300,128732,700976
fail10_test1,5,0.0.8.5,17932,46404,36,513300,149228,726900
fail10_test1,5,0.0.8.6,17248,66700,36,521972,142060,748016
fail10_test1,5,0.0.9.1,16808,74732,540,493336,108232,693648
fail10_test1,5,0.0.9.2,16952,71712,180,470312,134904,694060
fail10_test1,5,0.0.9.3,16572,69344,828,509900,106788,703432
fail10_test1,5,0.0.9.4,18028,40492,0,539288,158708,756516
fail10_test1,5,0.0.9.5,18080,31176,972,603132,131764,785124
fail10_test1,5,0.0.9.6,16720,76768,0,415024,95988,604500
fail10_test1,5,0.0.10.1,17544,53488,0,475736,121348,668116
fail10_test1,5,0.0.10.2,17792,49380,36,474592,144228,686028
fail10_test1,5,0.0.10.3,17152,57916,0,464920,116056,656044
fail10_test1,5,0.0.10.4,18368,24148,0,534760,164528,741804
fail10_test1,5,0.0.10.5,18324,31564,36,561508,168016,779448
fail10_test1,5,0.0.10.6,18128,32220,0,500204,158508,709060
fail10_test1,5,0.0.11.1,17248,73752,0,450228,131876,673104
fail10_test1,5,0.0.11.2,17648,47300,0,441016,132760,638724
fail10_test1,5,0.0.11.3,17544,62076,36,440636,127604,647896
fail10_test1,5,0.0.11.4,17880,52812,0,468600,141944,681236
fail10_test1,5,0.0.11.5,18080,40188,0,507980,156128,722376
fail10_test1,5,0.0.11.6,17692,58948,0,488564,147040,712244
fail10_test2,5,0.0.1.1,16924,71652,0,401716,121020,611312
fail10_test2,5,0.0.1.2,17732,52128,36,396352,129856,596104
fail10_test2,5,0.0.1.3,17460,60272,0,420388,131648,629768
fail10_test2,5,0.0.1.4,17932,45400,36,421480,143332,628180
fail10_test2,5,0.0.1.5,17252,63040,0,416604,131796,628692
fail10_test2,5,0.0.1.6,17152,60504,0,417732,131384,626772
fail10_test2,5,0.0.2.1,17208,64536,756,518976,115364,716840
fail10_test2,5,0.0.2.2,17104,73792,648,492268,114964,698776
fail10_test2,5,0.0.2.3,17544,61860,0,486388,145628,711420
fail10_test2,5,0.0.2.4,17740,58244,72,523012,151796,750864
fail10_test2,5,0.0.2.5,17256,71224,0,517480,143880,749840
fail10_test2,5,0.0.2.6,17932,43088,0,504096,160540,725656
fail10_test2,5,0.0.3.1,17544,57436,0,476252,126756,677988
fail10_test2,5,0.0.3.2,16656,85700,0,487444,110508,700308
fail10_test2,5,0.0.3.3,17244,76076,0,507212,140748,741280
fail10_test2,5,0.0.3.4,17492,64464,0,572400,153264,807620
fail10_test2,5,0.0.3.5,17684,56612,0,594676,169716,838688
fail10_test2,5,0.0.3.6,17492,60876,0,548624,157364,784356
fail10_test2,5,0.0.4.1,17440,61888,0,519588,141468,740384
fail10_test2,5,0.0.4.2,17500,66068,0,498764,144852,727184
fail10_test2,5,0.0.4.3,17688,55752,0,531688,140344,745472
fail10_test2,5,0.0.4.4,17928,51004,0,536172,161424,766528
fail10_test2,5,0.0.4.5,18080,25272,0,594992,168076,806420
fail10_test2,5,0.0.4.6,17636,61000,48,548544,160608,787836
fail10_test2,5,0.0.5.1,17928,48116,0,494624,148904,709572
fail10_test2,5,0.0.5.2,17400,55984,72,487208,136948,697612
fail10_test2,5,0.0.5.3,17244,72616,0,464184,143104,697148
fail10_test2,5,0.0.5.4,17448,60260,0,508084,144544,730336
fail10_test2,5,0.0.5.5,17692,40852,0,510112,155168,723824
fail10_test2,5,0.0.5.6,17892,41416,0,525572,153992,738872
fail10_test2,5,0.0.6.1,18172,32416,36,413316,134344,598284
fail10_test2,5,0.0.6.2,16724,71332,408,412940,112100,613504
fail10_test2,5,0.0.6.3,16884,86708,0,404376,124608,632576
fail10_test2,5,0.0.6.4,16860,88404,36,412228,122000,639528
fail10_test2,5,0.0.6.5,17404,61004,0,423436,128676,630520
fail10_test2,5,0.0.6.6,16712,78104,360,400820,105844,601840
fail10_test2,5,0.0.7.1,17056,57996,252,460760,120260,656324
fail10_test2,5,0.0.7.2,17688,44932,0,446860,126508,635988
fail10_test2,5,0.0.7.3,18416,30688,36,481780,155408,686328
fail10_test2,5,0.0.7.4,17488,62020,36,499536,142208,721288
fail10_test2,5,0.0.7.5,16760,81296,468,461840,114252,674616
fail10_test2,5,0.0.7.6,16568,89920,0,388972,99640,595100
fail10_test2,5,0.0.8.1,17248,64036,0,484600,130952,696836
fail10_test2,5,0.0.8.2,17536,56268,36,499644,138124,711608
fail10_test2,5,0.0.8.3,18176,32832,0,527708,155888,734604
fail10_test2,5,0.0.8.4,17500,61200,0,523844,152248,754792
fail10_test2,5,0.0.8.5,17884,40820,0,486180,143032,687916
fail10_test2,5,0.0.8.6,17884,48892,0,484228,144196,695200
fail10_test2,5,0.0.9.1,17740,45192,0,559984,154128,777044
fail10_test2,5,0.0.9.2,17740,40140,0,559536,155216,772632
fail10_test2,5,0.0.9.3,18076,32760,0,582388,166748,799972
fail10_test2,5,0.0.9.4,17880,39856,36,593704,163704,815180
fail10_test2,5,0.0.9.5,17348,48556,0,540164,150000,756068
fail10_test2,5,0.0.9.6,17932,53300,0,539888,153544,764664
fail10_test2,5,0.0.10.1,18080,40576,36,487820,142748,689260
fail10_test2,5,0.0.10.2,17548,46896,756,489392,119284,673876
fail10_test2,5,0.0.10.3,17248,57248,0,507324,143768,725588
fail10_test2,5,0.0.10.4,17200,62380,0,516396,148652,744628
fail10_test2,5,0.0.10.5,17932,42332,72,499332,151640,711308
fail10_test2,5,0.0.10.6,18128,38412,36,491556,157012,705144
fail10_test2,5,0.0.11.1,17052,73568,936,479004,103188,673748
fail10_test2,5,0.0.11.2,17340,64016,36,400968,85304,567664
fail10_test2,5,0.0.11.3,17692,58112,0,477696,148836,702336
fail10_test2,5,0.0.11.4,16960,73576,36,491608,140880,723060
fail10_test2,5,0.0.11.5,16812,88836,0,473172,131840,710660
fail10_test2,5,0.0.11.6,16576,91452,0,439296,132644,679968
fail10_test3,5,0.0.1.1,18140,33624,468,456224,131812,640268
fail10_test3,5,0.0.1.2,17208,63784,504,443732,118312,643540
fail10_test3,5,0.0.1.3,17452,63324,324,359924,124664,565688
fail10_test3,5,0.0.1.4,17208,56720,1836,400504,70820,547088
