config,hop,module,simtime,isNoEntry,isStub,isLoop
fail10_test1,5,Network.ospfRouter_4_5.ipv4,51.5518208,1,0,0
fail10_test1,5,Network.ospfRouter_2_5.ipv4,51.6184688,1,0,0
fail10_test1,5,Network.ospfRouter_2_3.ipv4,51.65375152,1,0,0
fail10_test1,5,Network.ospfRouter_1_6.ipv4,51.7711808,1,0,0
fail10_test1,5,Network.ospfRouter_1_6.ipv4,51.86289128,1,0,0
fail10_test1,5,Network.ospfRouter_1_6.ipv4,51.96289128,1,0,0
fail10_test1,5,Network.ospfRouter_1_6.ipv4,52.05784544,1,0,0
fail10_test1,5,Network.ospfRouter_1_6.ipv4,52.15782128,1,0,0
fail10_test1,5,Network.ospfRouter_1_6.ipv4,52.25782128,1,0,0
fail10_test1,5,Network.ospfRouter_1_6.ipv4,52.35782128,1,0,0
fail10_test1,5,Network.ospfRouter_1_6.ipv4,52.45782128,1,0,0
fail10_test1,5,Network.ospfRouter_1_6.ipv4,52.55782128,1,0,0
fail10_test1,5,Network.ospfRouter_1_6.ipv4,52.65782128,1,0,0
fail10_test1,5,Network.ospfRouter_1_6.ipv4,52.7897648,1,0,0
fail10_test1,5,Network.ospfRouter_1_6.ipv4,52.86289128,1,0,0
fail10_test1,5,Network.ospfRouter_1_6.ipv4,52.96289128,1,0,0
fail10_test1,5,Network.ospfRouter_1_6.ipv4,53.06292024,1,0,0
fail10_test1,5,Network.ospfRouter_11_3.ipv4,53.09386448,1,0,0
fail10_test1,5,Network.ospfRouter_7_2.ipv4,53.22524268,1,0,0
fail10_test1,5,Network.ospfRouter_7_2.ipv4,53.25070764,1,0,0
fail10_test1,5,Network.ospfRouter_7_2.ipv4,53.35070764,1,0,0
fail10_test1,5,Network.ospfRouter_7_2.ipv4,53.45070764,1,0,0
fail10_test1,5,Network.ospfRouter_7_2.ipv4,53.55070764,1,0,0
fail10_test1,5,Network.ospfRouter_7_2.ipv4,53.65070764,1,0,0
fail10_test1,5,Network.ospfRouter_9_4.ipv4,53.72383188,1,0,0
fail10_test1,5,Network.ospfRouter_9_4.ipv4,53.82383188,1,0,0
fail10_test1,5,Network.ospfRouter_9_4.ipv4,53.92383188,1,0,0
fail10_test1,5,Network.ospfRouter_9_4.ipv4,54.02383188,1,0,0
