config,hop,successRatio,avgDelay
fail10_test1,5,0.946,0.073924338308
fail10_test2,5,0.897,0.07280912143
fail10_test3,5,0.899,0.067856186011
fail10_test4,5,0.82,0.078432080803
fail10_test5,5,0.853,0.081024187523
