config,hop,noEntryCnt,stubCnt,loopCnt,total
fail10_test1,5,53,0,0,53
fail10_test2,5,101,0,0,101
fail10_test3,5,101,0,0,101
fail10_test4,5,183,0,0,183
fail10_test5,5,147,0,0,147
