config,hop,successRatio,avgDelay
fail10_test1,3,0.743,0.101798188048
fail10_test2,3,0.896,0.075387810982
fail10_test3,3,0.9,0.067955115777
fail10_test4,3,0.939,0.084295810607
fail10_test5,3,0.87,0.092182532091
