config,hop,noEntryCnt,stubCnt,loopCnt,total
fail10_test1,3,252,0,3,255
fail10_test2,3,100,0,2,102
fail10_test3,3,100,0,0,100
fail10_test4,3,58,0,0,58
fail10_test5,3,130,0,0,130
