config,hop,successRatio,avgDelay
fail10_test1,2,0.948,0.080607508438
fail10_test2,2,0.899,0.073761275194
fail10_test3,2,0.88,0.080526138863
fail10_test4,2,0.944,0.084927516059
fail10_test5,2,0.843,0.081593657841
