config,hop,noEntryCnt,stubCnt,loopCnt,total
fail10_test1,2,52,0,0,52
fail10_test2,2,100,0,0,100
fail10_test3,2,120,0,0,120
fail10_test4,2,52,0,0,52
fail10_test5,2,155,0,0,155
