config,hop,module,helloOverhead,DDOverhead,LSROverhead,LSUOverhead,LSACKOverhead,total
fail20_test1,1,0.0.6.1,15540,113952,576,32196,8440,170704,
fail20_test1,1,0.0.6.2,15696,99336,468,20720,7200,143420,
fail20_test1,1,0.0.6.3,19200,0,0,43496,0,62696,
fail20_test1,1,0.0.6.4,16080,107200,648,31628,10620,166176,
fail20_test1,1,0.0.6.5,15108,136644,864,35352,10852,198820,
fail20_test1,1,0.0.6.6,16164,105784,396,37764,11208,171316,
fail20_test1,1,0.0.7.1,15784,126040,684,36032,10352,188892,
fail20_test1,1,0.0.7.2,15152,149912,432,27984,12980,206460,
fail20_test1,1,0.0.7.3,16368,105912,648,31520,9532,163980,
fail20_test1,1,0.0.7.4,15024,161572,648,28244,13012,218500,
fail20_test1,1,0.0.7.5,15592,130096,456,37392,9892,193428,
fail20_test1,1,0.0.7.6,15748,128792,408,35820,11084,191852,
fail20_test1,1,0.0.8.1,15652,117336,576,30964,10248,174776,
fail20_test1,1,0.0.8.2,16376,112576,468,37388,10136,176944,
fail20_test1,1,0.0.8.3,16180,100580,1152,33384,8380,159676,
fail20_test1,1,0.0.8.4,15924,102376,1476,27252,6016,153044,
fail20_test1,1,0.0.8.5,15512,93300,1980,37324,6132,154248,
fail20_test1,1,0.0.8.6,15352,124836,300,24296,6580,171364,
fail20_test1,1,0.0.9.1,15160,102636,1548,33532,7588,160464,
fail20_test1,1,0.0.9.2,15452,114208,480,22732,7348,160220,
fail20_test1,1,0.0.9.3,17100,62776,1320,30396,6408,118000,
fail20_test1,1,0.0.9.4,17052,55616,324,20572,3404,96968,
fail20_test1,1,0.0.9.5,15632,84248,1716,28696,5136,135428,
fail20_test1,1,0.0.9.6,15840,111324,216,27148,7976,162504,
fail20_test1,1,0.0.10.1,15392,119140,768,35528,10048,180876,
fail20_test1,1,0.0.10.2,15156,112944,1116,33444,8608,171268,
fail20_test1,1,0.0.10.3,15444,83764,1548,33080,6908,140744,
fail20_test1,1,0.0.10.4,15984,84900,1044,23268,6360,131556,
fail20_test1,1,0.0.10.5,15584,102744,1092,23072,6196,148688,
fail20_test1,1,0.0.10.6,15684,125892,408,36448,10640,189072,
fail20_test1,1,0.0.11.1,15416,121512,468,37940,11344,186680,
fail20_test1,1,0.0.11.2,15900,99436,108,37316,7536,160296,
fail20_test1,1,0.0.11.3,15012,152368,324,31576,11776,211056,
fail20_test1,1,0.0.11.4,15644,129144,192,31840,11296,188116,
fail20_test1,1,0.0.11.5,16216,105872,468,32600,7160,162316,
fail20_test1,1,0.0.11.6,15108,150876,252,31016,12148,209400,
fail20_test2,1,0.0.1.1,14576,162292,1188,27588,13036,218680,
fail20_test2,1,0.0.1.2,15856,105956,396,33816,9240,165264,
fail20_test2,1,0.0.1.3,15688,121484,624,29508,10940,178244,
fail20_test2,1,0.0.1.4,16092,101468,504,31628,8568,158260,
fail20_test2,1,0.0.1.5,16572,86724,396,37240,7976,148908,
fail20_test2,1,0.0.1.6,16864,88528,432,41432,9012,156268,
fail20_test2,1,0.0.2.1,14976,154880,828,39032,13032,222748,
fail20_test2,1,0.0.2.2,15112,133396,1152,32752,10204,192616,
fail20_test2,1,0.0.2.3,15840,111876,384,17712,8456,154268,
fail20_test2,1,0.0.2.4,16756,81528,468,30276,7352,136380,
fail20_test2,1,0.0.2.5,15884,122356,768,29652,10952,179612,
fail20_test2,1,0.0.2.6,15532,149020,336,33344,11292,209524,
fail20_test2,1,0.0.3.1,15192,126332,1704,31568,9752,184548,
fail20_test2,1,0.0.3.2,15976,84864,684,17524,5588,124636,
fail20_test2,1,0.0.3.3,19200,0,0,33144,0,52344,
fail20_test2,1,0.0.3.4,17444,54160,432,23912,5380,101328,
fail20_test2,1,0.0.3.5,15924,112856,648,29856,8828,168112,
fail20_test2,1,0.0.3.6,16168,124132,288,33452,10588,184628,
fail20_test2,1,0.0.4.1,15924,91180,2760,33908,5072,148844,
fail20_test2,1,0.0.4.2,15440,108440,624,17500,5704,147708,
fail20_test2,1,0.0.4.3,17000,77596,1596,22260,6212,124664,
fail20_test2,1,0.0.4.4,16324,101800,432,27520,8964,155040,
fail20_test2,1,0.0.4.5,16184,114252,324,29764,10064,170588,
fail20_test2,1,0.0.4.6,16120,94044,312,29884,7188,147548,
fail20_test2,1,0.0.5.1,17248,75848,432,34204,7160,134892,
fail20_test2,1,0.0.5.2,16364,103648,768,22888,8748,152416,
fail20_test2,1,0.0.5.3,16952,72184,216,15144,5640,110136,
fail20_test2,1,0.0.5.4,16268,100848,444,29976,9896,157432,
fail20_test2,1,0.0.5.5,15640,127592,660,33404,11536,188832,
fail20_test2,1,0.0.5.6,15204,134788,324,33240,8480,192036,
fail20_test2,1,0.0.6.1,16772,89232,660,33720,8416,148800,
fail20_test2,1,0.0.6.2,17696,50316,144,25720,4668,98544,
fail20_test2,1,0.0.6.3,19200,0,0,31228,0,50428,
fail20_test2,1,0.0.6.4,16820,92368,564,25508,8924,144184,
fail20_test2,1,0.0.6.5,15692,126320,540,40316,9908,192776,
fail20_test2,1,0.0.6.6,15312,146544,552,31664,13012,207084,
fail20_test2,1,0.0.7.1,14772,152836,984,33120,13032,214744,
fail20_test2,1,0.0.7.2,14820,155384,468,30420,13392,214484,
fail20_test2,1,0.0.7.3,16860,82808,396,27688,8444,136196,
fail20_test2,1,0.0.7.4,15948,131888,504,31556,10696,190592,
fail20_test2,1,0.0.7.5,14764,139500,1188,30744,11488,197684,
fail20_test2,1,0.0.7.6,16180,109356,1452,40904,9440,177332,
fail20_test2,1,0.0.8.1,14964,123604,432,26768,10944,176712,
fail20_test2,1,0.0.8.2,14716,154744,612,32168,12464,214704,
fail20_test2,1,0.0.8.3,16328,104640,732,33548,8520,163768,
fail20_test2,1,0.0.8.4,15780,101824,1032,28248,6504,153388,
fail20_test2,1,0.0.8.5,14820,104604,1044,20392,6380,147240,
fail20_test2,1,0.0.8.6,16952,53244,72,26168,3468,99904,
fail20_test2,1,0.0.9.1,17152,54124,1800,38080,4912,116068,
fail20_test2,1,0.0.9.2,15932,110088,528,24516,5968,157032,
fail20_test2,1,0.0.9.3,16716,89568,1308,36344,7116,151052,
fail20_test2,1,0.0.9.4,16272,94656,648,27060,4908,143544,
fail20_test2,1,0.0.9.5,15444,120476,1452,31084,6904,175360,
fail20_test2,1,0.0.9.6,16616,86864,360,24996,7452,136288,
fail20_test2,1,0.0.10.1,16328,91664,696,28304,8200,145192,
fail20_test2,1,0.0.10.2,15944,107516,612,25924,9620,159616,
fail20_test2,1,0.0.10.3,15216,125860,1020,29376,10384,181856,
fail20_test2,1,0.0.10.4,15936,112688,432,33920,9008,171984,
fail20_test2,1,0.0.10.5,15448,125464,804,28972,7972,178660,
fail20_test2,1,0.0.10.6,15644,123808,216,25256,10356,175280,
fail20_test2,1,0.0.11.1,16968,87320,840,34380,7604,147112,
fail20_test2,1,0.0.11.2,17596,50464,108,33320,4016,105504,
fail20_test2,1,0.0.11.3,16420,97984,312,33952,10380,159048,
fail20_test2,1,0.0.11.4,15648,138244,636,30432,12056,197016,
fail20_test2,1,0.0.11.5,14668,148876,480,29764,11056,204844,
fail20_test2,1,0.0.11.6,16420,96816,144,32936,8632,154948,
fail20_test3,1,0.0.1.1,15280,117396,912,37488,9060,180136,
fail20_test3,1,0.0.1.2,15648,113788,468,33044,11160,174108,
fail20_test3,1,0.0.1.3,15852,106696,1716,33908,7368,165540,
fail20_test3,1,0.0.1.4,15896,107140,504,33228,10016,166784,
fail20_test3,1,0.0.1.5,16628,89248,504,37420,8576,152376,
fail20_test3,1,0.0.1.6,15304,143456,696,34100,11356,204912,
fail20_test3,1,0.0.2.1,15252,139740,828,31636,11064,198520,
fail20_test3,1,0.0.2.2,15648,122788,1668,33728,7520,181352,
fail20_test3,1,0.0.2.3,16464,77564,408,9144,4516,108096,
fail20_test3,1,0.0.2.4,15944,108760,1692,25968,7848,160212,
fail20_test3,1,0.0.2.5,16124,106064,432,31800,10408,164828,
fail20_test3,1,0.0.2.6,16220,118720,252,38588,9848,183628,
fail20_test3,1,0.0.3.1,14472,120908,1512,30828,7956,175676,
fail20_test3,1,0.0.3.2,15492,106580,972,19744,7032,149820,
fail20_test3,1,0.0.3.3,19200,0,0,34584,0,53784,
fail20_test3,1,0.0.3.4,17636,47596,252,22456,3420,91360,
fail20_test3,1,0.0.3.5,15404,121816,1284,30192,8624,177320,
fail20_test3,1,0.0.3.6,14852,128412,252,21280,7564,172360,
fail20_test3,1,0.0.4.1,15684,86828,2220,33328,5800,143860,
fail20_test3,1,0.0.4.2,14960,123732,588,19656,6544,165480,
fail20_test3,1,0.0.4.3,15584,125124,1044,20308,9280,171340,
fail20_test3,1,0.0.4.4,15436,138644,468,25588,11684,191820,
fail20_test3,1,0.0.4.5,15788,109460,624,35384,9080,170336,
fail20_test3,1,0.0.4.6,16072,86256,108,25824,5204,133464,
fail20_test3,1,0.0.5.1,15992,101712,504,29860,8804,156872,
fail20_test3,1,0.0.5.2,16272,99728,408,28680,7536,152624,
fail20_test3,1,0.0.5.3,16776,82788,432,23384,7368,130748,
fail20_test3,1,0.0.5.4,15052,134736,540,26996,11712,189036,
fail20_test3,1,0.0.5.5,15396,129948,756,31048,10900,188048,
fail20_test3,1,0.0.5.6,16916,80744,84,29880,9044,136668,
fail20_test3,1,0.0.6.1,15164,138524,792,25364,12500,192344,
fail20_test3,1,0.0.6.2,16812,84896,288,24028,7956,133980,
fail20_test3,1,0.0.6.3,19200,0,0,37388,0,56588,
fail20_test3,1,0.0.6.4,17112,69504,216,28224,7280,122336,
fail20_test3,1,0.0.6.5,16048,109660,456,32256,9468,167888,
fail20_test3,1,0.0.6.6,17300,70804,252,44100,7224,139680,
fail20_test3,1,0.0.7.1,15352,129356,792,35696,11560,192756,
fail20_test3,1,0.0.7.2,16480,103492,468,31548,9208,161196,
fail20_test3,1,0.0.7.3,16228,110088,648,19936,10808,157708,
fail20_test3,1,0.0.7.4,16568,103220,480,31084,9912,161264,
fail20_test3,1,0.0.7.5,14520,154164,864,29324,11792,210664,
fail20_test3,1,0.0.7.6,14672,157672,1356,24500,10624,208824,
fail20_test3,1,0.0.8.1,16532,93616,1848,31232,7860,151088,
fail20_test3,1,0.0.8.2,17004,85872,324,33296,8020,144516,
fail20_test3,1,0.0.8.3,16024,106272,1152,28724,7764,159936,
fail20_test3,1,0.0.8.4,15980,84388,2676,28056,2752,133852,
fail20_test3,1,0.0.8.5,15880,82980,1908,27008,3196,130972,
fail20_test3,1,0.0.8.6,17204,66720,792,21484,2448,108648,
fail20_test3,1,0.0.9.1,16320,93844,2052,34496,6608,153320,
fail20_test3,1,0.0.9.2,16172,100688,552,22436,6588,146436,
fail20_test3,1,0.0.9.3,16468,93964,612,31464,8132,150640,
fail20_test3,1,0.0.9.4,16424,83412,900,19544,4228,124508,
fail20_test3,1,0.0.9.5,15984,91896,1908,22924,4096,136808,
fail20_test3,1,0.0.9.6,16516,89532,324,18360,6088,130820,
fail20_test3,1,0.0.10.1,16176,108092,1092,34176,8740,168276,
fail20_test3,1,0.0.10.2,16368,92384,1584,36692,6120,153148,
fail20_test3,1,0.0.10.3,16320,108384,648,30484,9372,165208,
fail20_test3,1,0.0.10.4,15940,88192,660,27836,6352,138980,
fail20_test3,1,0.0.10.5,16228,74156,588,29360,5764,126096,
fail20_test3,1,0.0.10.6,15636,124800,252,30348,11308,182344,
fail20_test3,1,0.0.11.1,16040,101516,480,32200,9204,159440,
fail20_test3,1,0.0.11.2,16180,100552,180,27096,7156,151164,
fail20_test3,1,0.0.11.3,15984,118376,372,32364,9480,176576,
fail20_test3,1,0.0.11.4,15396,124344,588,27972,9260,177560,
fail20_test3,1,0.0.11.5,15848,104520,360,30780,10284,161792,
fail20_test3,1,0.0.11.6,15252,133532,180,30416,11732,191112,
fail20_test4,1,0.0.1.1,15068,153920,1176,31328,12064,213556,
fail20_test4,1,0.0.1.2,15208,137868,792,29184,11964,195016,
fail20_test4,1,0.0.1.3,16336,88432,1368,31208,7516,144860,
fail20_test4,1,0.0.1.4,16232,97284,660,31524,8744,154444,
fail20_test4,1,0.0.1.5,15064,143840,756,28940,11536,200136,
fail20_test4,1,0.0.1.6,15952,121804,504,35552,10880,184692,
fail20_test4,1,0.0.2.1,16224,89664,360,32584,8964,147796,
fail20_test4,1,0.0.2.2,15980,87292,1200,26660,6284,137416,
fail20_test4,1,0.0.2.3,16612,72340,108,7600,3604,100264,
fail20_test4,1,0.0.2.4,17308,70728,144,27544,7048,122772,
fail20_test4,1,0.0.2.5,15840,107228,600,31580,9344,164592,
fail20_test4,1,0.0.2.6,16664,95500,144,32076,9360,153744,
fail20_test4,1,0.0.3.1,15640,86956,936,22932,8504,134968,
fail20_test4,1,0.0.3.2,16520,64328,36,14756,5700,101340,
fail20_test4,1,0.0.3.3,19200,0,0,29664,0,48864,
fail20_test4,1,0.0.3.4,16760,90532,612,25548,8276,141728,
fail20_test4,1,0.0.3.5,14916,144004,936,24680,10048,194584,
fail20_test4,1,0.0.3.6,16812,81760,468,33432,6320,138792,
fail20_test4,1,0.0.4.1,16520,90928,864,33452,6904,148668,
fail20_test4,1,0.0.4.2,16560,81664,504,24268,6012,129008,
fail20_test4,1,0.0.4.3,16280,81624,1080,20452,6568,126004,
fail20_test4,1,0.0.4.4,15728,130748,432,25588,10512,183008,
fail20_test4,1,0.0.4.5,15880,104796,1176,35160,8780,165792,
fail20_test4,1,0.0.4.6,15100,130772,576,20912,7452,174812,
fail20_test4,1,0.0.5.1,15880,110920,804,33084,10856,171544,
fail20_test4,1,0.0.5.2,15896,108936,1620,26344,8432,161228,
fail20_test4,1,0.0.5.3,16520,78932,228,18040,5452,119172,
fail20_test4,1,0.0.5.4,16144,107188,468,27748,9624,161172,
fail20_test4,1,0.0.5.5,16416,95740,504,34720,9524,156904,
fail20_test4,1,0.0.5.6,15396,150084,648,30820,11380,208328,
fail20_test4,1,0.0.6.1,15848,118052,1452,34740,7808,177900,
fail20_test4,1,0.0.6.2,17020,67920,144,13464,4616,103164,
fail20_test4,1,0.0.6.3,19200,0,0,34776,0,53976,
fail20_test4,1,0.0.6.4,16756,76224,324,24176,7896,125376,
fail20_test4,1,0.0.6.5,16384,99252,360,29464,7896,153356,
fail20_test4,1,0.0.6.6,15900,114444,396,32908,10788,174436,
fail20_test4,1,0.0.7.1,15888,124352,696,40520,11268,192724,
fail20_test4,1,0.0.7.2,15100,140972,720,33696,12120,202608,
fail20_test4,1,0.0.7.3,16032,107352,756,25676,10000,159816,
fail20_test4,1,0.0.7.4,15748,108884,408,27020,9572,161632,
fail20_test4,1,0.0.7.5,16960,85564,540,30116,7644,140824,
fail20_test4,1,0.0.7.6,16280,103552,252,33244,9252,162580,
fail20_test4,1,0.0.8.1,14608,169704,1044,31100,12200,228656,
fail20_test4,1,0.0.8.2,14580,172800,540,36916,13400,238236,
fail20_test4,1,0.0.8.3,14956,140040,816,35364,10332,201508,
fail20_test4,1,0.0.8.4,15788,111756,1092,33104,7904,169644,
fail20_test4,1,0.0.8.5,17048,77416,984,31660,5616,132724,
fail20_test4,1,0.0.8.6,16364,103736,288,27408,6768,154564,
fail20_test4,1,0.0.9.1,16224,108680,648,42120,10056,177728,
fail20_test4,1,0.0.9.2,15408,131468,612,40404,12096,199988,
fail20_test4,1,0.0.9.3,14816,149396,672,33740,11800,210424,
fail20_test4,1,0.0.9.4,14880,118008,1560,27696,7552,169696,
fail20_test4,1,0.0.9.5,16280,90904,1788,35784,6616,151372,
fail20_test4,1,0.0.9.6,15784,119404,612,28380,9544,173724,
fail20_test4,1,0.0.10.1,14612,120444,1392,34784,9028,180260,
fail20_test4,1,0.0.10.2,15200,124236,1284,36672,9024,186416,
fail20_test4,1,0.0.10.3,15456,112684,1164,33424,8984,171712,
fail20_test4,1,0.0.10.4,15932,85572,252,23152,5928,130836,
fail20_test4,1,0.0.10.5,16324,97204,312,27164,6796,147800,
fail20_test4,1,0.0.10.6,15692,118492,300,28952,10968,174404,
fail20_test4,1,0.0.11.1,15492,117308,324,27364,7424,167912,
fail20_test4,1,0.0.11.2,16280,103552,324,30728,7236,158120,
fail20_test4,1,0.0.11.3,16140,101496,468,30188,10528,158820,
fail20_test4,1,0.0.11.4,16376,99928,288,31012,8552,156156,
fail20_test4,1,0.0.11.5,16144,107100,432,29968,9852,163496,
fail20_test4,1,0.0.11.6,16960,84360,72,34844,7152,143388,
fail20_test5,1,0.0.1.1,15364,134016,984,35608,9848,195820,
fail20_test5,1,0.0.1.2,15404,128980,972,38060,10944,194360,
fail20_test5,1,0.0.1.3,16124,104804,1044,39684,8428,170084,
fail20_test5,1,0.0.1.4,15064,143116,876,33552,11940,204548,
fail20_test5,1,0.0.1.5,15216,145312,648,38904,11744,211824,
fail20_test5,1,0.0.1.6,15264,119144,744,38704,11140,184996,
fail20_test5,1,0.0.2.1,16516,103440,504,34188,9716,164364,
fail20_test5,1,0.0.2.2,16096,104876,684,26628,8508,156792,
fail20_test5,1,0.0.2.3,17008,68448,216,16200,6036,107908,
fail20_test5,1,0.0.2.4,16240,65556,1224,31648,6440,121108,
fail20_test5,1,0.0.2.5,15976,103396,900,30580,9380,160232,
fail20_test5,1,0.0.2.6,15304,130408,288,30968,10552,187520,
fail20_test5,1,0.0.3.1,17004,81192,468,27364,7716,133744,
fail20_test5,1,0.0.3.2,17688,49304,144,23748,5672,96556,
fail20_test5,1,0.0.3.3,19200,0,0,26032,0,45232,
fail20_test5,1,0.0.3.4,15792,76104,1044,17344,4820,115104,
fail20_test5,1,0.0.3.5,15296,110056,648,22688,6388,155076,
fail20_test5,1,0.0.3.6,16228,99108,216,25072,8640,149264,
fail20_test5,1,0.0.4.1,16176,88336,1920,31628,5624,143684,
fail20_test5,1,0.0.4.2,16328,101972,432,18416,8676,145824,
fail20_test5,1,0.0.4.3,17148,57132,900,25152,5732,106064,
fail20_test5,1,0.0.4.4,15252,120496,1380,25720,9380,172228,
fail20_test5,1,0.0.4.5,15884,99200,1728,29716,6000,152528,
fail20_test5,1,0.0.4.6,16124,88180,216,17860,3492,125872,
fail20_test5,1,0.0.5.1,15552,119864,804,28340,9420,173980,
fail20_test5,1,0.0.5.2,16316,102628,1296,27220,6732,154192,
fail20_test5,1,0.0.5.3,16908,69676,324,20980,7080,114968,
fail20_test5,1,0.0.5.4,15512,128016,504,29176,11700,184908,
fail20_test5,1,0.0.5.5,15888,110776,624,35468,10876,173632,
fail20_test5,1,0.0.5.6,15800,119952,108,28732,10636,175228,
fail20_test5,1,0.0.6.1,16916,81100,612,32604,7464,138696,
fail20_test5,1,0.0.6.2,17688,54228,396,19376,5076,96764,
fail20_test5,1,0.0.6.3,19200,0,0,35800,0,55000,
fail20_test5,1,0.0.6.4,16724,92292,684,33788,9096,152584,
fail20_test5,1,0.0.6.5,15464,133896,684,35048,11892,196984,
fail20_test5,1,0.0.6.6,15156,113060,360,32428,10464,171468,
fail20_test5,1,0.0.7.1,16716,92188,720,38952,9176,157752,
fail20_test5,1,0.0.7.2,15252,144264,720,30544,12984,203764,
fail20_test5,1,0.0.7.3,15556,119804,576,28016,11368,175320,
fail20_test5,1,0.0.7.4,15452,133652,432,33432,13248,196216,
fail20_test5,1,0.0.7.5,15596,131220,1008,40628,11968,200420,
fail20_test5,1,0.0.7.6,14916,110364,1320,29612,8044,164256,
fail20_test5,1,0.0.8.1,15732,109936,576,35284,10132,171660,
fail20_test5,1,0.0.8.2,14672,155244,1044,32280,12028,215268,
fail20_test5,1,0.0.8.3,15692,114408,360,35004,9264,174728,
fail20_test5,1,0.0.8.4,16520,87220,996,35432,7240,147408,
fail20_test5,1,0.0.8.5,15052,130344,1692,27396,6304,180788,
fail20_test5,1,0.0.8.6,15832,104468,360,32108,7524,160292,
fail20_test5,1,0.0.9.1,14512,127080,924,30204,9836,182556,
fail20_test5,1,0.0.9.2,15248,125260,552,28208,9756,179024,
fail20_test5,1,0.0.9.3,15596,99068,1440,31480,7380,154964,
fail20_test5,1,0.0.9.4,16320,78068,684,20996,4808,120876,
fail20_test5,1,0.0.9.5,16764,83508,576,26968,4480,132296,
fail20_test5,1,0.0.9.6,15796,121128,288,26416,9336,172964,
fail20_test5,1,0.0.10.1,16232,103288,516,40140,9072,169248,
fail20_test5,1,0.0.10.2,16472,90828,408,37116,8612,153436,
fail20_test5,1,0.0.10.3,16268,103108,1632,36952,6920,164880,
fail20_test5,1,0.0.10.4,15888,107676,468,27808,6520,158360,
fail20_test5,1,0.0.10.5,15776,140328,936,30780,11652,199472,
fail20_test5,1,0.0.10.6,15832,129380,396,36956,10808,193372,
fail20_test5,1,0.0.11.1,15312,139692,444,35660,13300,204408,
fail20_test5,1,0.0.11.2,14548,155316,612,34240,12568,217284,
fail20_test5,1,0.0.11.3,15024,152444,372,35580,12280,215700,
fail20_test5,1,0.0.11.4,14528,167932,588,37812,12928,233788,
fail20_test5,1,0.0.11.5,15108,155664,564,40124,12528,223988,
fail20_test5,1,0.0.11.6,15260,134872,192,39444,11116,200884,
