config,hop,module,helloOverhead,DDOverhead,LSROverhead,LSUOverhead,LSACKOverhead,total
fail20_test1,1,0.0.1.1,15024,153788,1260,40088,12840,223000,
fail20_test1,1,0.0.1.2,14728,160928,852,35120,13492,225120,
fail20_test1,1,0.0.1.3,15028,143700,840,36536,12732,208836,
fail20_test1,1,0.0.1.4,15700,115048,708,35216,11080,177752,
fail20_test1,1,0.0.1.5,17008,80936,396,34036,7820,140196,
fail20_test1,1,0.0.1.6,16280,108512,468,37488,10948,173696,
fail20_test1,1,0.0.2.1,14768,151664,720,36800,12236,216188,
fail20_test1,1,0.0.2.2,16168,114600,264,33084,9572,173688,
fail20_test1,1,0.0.2.3,16568,94284,396,25412,9016,145676,
fail20_test1,1,0.0.2.4,15788,105084,1188,30612,7648,160320,
fail20_test1,1,0.0.2.5,16436,80148,336,32316,8528,137764,
fail20_test1,1,0.0.2.6,16568,103040,144,38056,10488,168296,
fail20_test1,1,0.0.3.1,14128,176436,984,26944,12752,231244,
fail20_test1,1,0.0.3.2,16964,76252,780,30680,6216,130892,
fail20_test1,1,0.0.3.3,19200,0,0,35892,0,55092,
fail20_test1,1,0.0.3.4,16620,80268,396,20320,6932,124536,
fail20_test1,1,0.0.3.5,15056,124948,1668,33880,7232,182784,
fail20_test1,1,0.0.3.6,15444,132756,396,28960,8588,186144,
fail20_test1,1,0.0.4.1,15544,119396,1440,40876,9140,186396,
fail20_test1,1,0.0.4.2,14820,141876,480,27404,9624,194204,
fail20_test1,1,0.0.4.3,16372,95564,1056,28008,7728,148728,
fail20_test1,1,0.0.4.4,15880,120796,576,34816,11160,183228,
fail20_test1,1,0.0.4.5,15060,133156,1272,33656,11800,194944,
fail20_test1,1,0.0.4.6,14428,144332,180,24112,6380,189432,
fail20_test1,1,0.0.5.1,15492,126672,960,36220,10976,190320,
fail20_test1,1,0.0.5.2,13872,163500,1428,29100,9720,217620,
fail20_test1,1,0.0.5.3,16136,106424,468,26392,9396,158816,
fail20_test1,1,0.0.5.4,15008,148388,612,35340,12048,211396,
fail20_test1,1,0.0.5.5,15256,142512,612,35932,12144,206456,
fail20_test1,1,0.0.5.6,15888,115772,144,38836,11308,181948,
