config,hop,successRatio,avgDelay
fail10_test1,1,0.948,0.081187283713
fail10_test2,1,0.877,0.074282093226
fail10_test3,1,0.876,0.076225294292
fail10_test4,1,0.912,0.088976277763
fail10_test5,1,0.811,0.08135015196
