config,hop,module,simtime,isNoEntry,isStub,isLoop
fail10_test1,2,Network.ospfRouter_4_4.ipv4,51.67446996,1,0,0
fail10_test1,2,Network.ospfRouter_4_4.ipv4,51.71523892,1,0,0
fail10_test1,2,Network.ospfRouter_4_4.ipv4,51.81016892,1,0,0
fail10_test1,2,Network.ospfRouter_4_4.ipv4,51.91016892,1,0,0
fail10_test1,2,Network.ospfRouter_4_4.ipv4,52.01016892,1,0,0
fail10_test1,2,Network.ospfRouter_4_4.ipv4,52.11016892,1,0,0
fail10_test1,2,Network.ospfRouter_4_6.ipv4,52.24252644,1,0,0
fail10_test1,2,Network.ospfRouter_4_6.ipv4,52.31016892,1,0,0
fail10_test1,2,Network.ospfRouter_4_6.ipv4,52.41016892,1,0,0
fail10_test1,2,Network.ospfRouter_4_6.ipv4,52.51016892,1,0,0
fail10_test1,2,Network.ospfRouter_4_6.ipv4,52.61016892,1,0,0
fail10_test1,2,Network.ospfRouter_4_6.ipv4,52.71016892,1,0,0
fail10_test1,2,Network.ospfRouter_4_6.ipv4,52.86391596,1,0,0
fail10_test1,2,Network.ospfRouter_4_6.ipv4,52.91016892,1,0,0
fail10_test1,2,Network.ospfRouter_4_6.ipv4,53.01016892,1,0,0
fail10_test1,2,Network.ospfRouter_4_6.ipv4,53.11016892,1,0,0
fail10_test1,2,Network.ospfRouter_6_4.ipv4,53.16944328,1,0,0
fail10_test1,2,Network.ospfRouter_9_2.ipv4,53.18795096,1,0,0
fail10_test1,2,Network.ospfRouter_6_6.ipv4,53.2747388,1,0,0
fail10_test1,2,Network.ospfRouter_6_6.ipv4,53.36944328,1,0,0
fail10_test1,2,Network.ospfRouter_6_6.ipv4,53.46944328,1,0,0
fail10_test1,2,Network.ospfRouter_6_6.ipv4,53.56944328,1,0,0
fail10_test1,2,Network.ospfRouter_6_6.ipv4,53.66944328,1,0,0
fail10_test1,2,Network.ospfRouter_6_4.ipv4,53.81789256,1,0,0
fail10_test1,2,Network.ospfRouter_6_4.ipv4,53.86414552,1,0,0
fail10_test1,2,Network.ospfRouter_6_4.ipv4,53.96414552,1,0,0
fail10_test1,2,Network.ospfRouter_6_4.ipv4,54.06414552,1,0,0
fail10_test1,2,Network.ospfRouter_6_4.ipv4,54.16414552,1,0,0
fail10_test1,2,Network.ospfRouter_6_4.ipv4,54.26414552,1,0,0
fail10_test1,2,Network.ospfRouter_6_4.ipv4,54.36414552,1,0,0
fail10_test1,2,Network.ospfRouter_6_4.ipv4,54.46414552,1,0,0
fail10_test1,2,Network.ospfRouter_6_4.ipv4,54.56414552,1,0,0
fail10_test1,2,Network.ospfRouter_6_4.ipv4,54.66414552,1,0,0
fail10_test1,2,Network.ospfRouter_6_4.ipv4,54.76414552,1,0,0
fail10_test1,2,Network.ospfRouter_6_4.ipv4,54.86414552,1,0,0
fail10_test1,2,Network.ospfRouter_6_4.ipv4,54.96414552,1,0,0
fail10_test1,2,Network.ospfRouter_6_4.ipv4,55.06414552,1,0,0
fail10_test1,2,Network.ospfRouter_6_4.ipv4,55.16414552,1,0,0
fail10_test1,2,Network.ospfRouter_6_4.ipv4,55.26414552,1,0,0
fail10_test1,2,Network.ospfRouter_6_4.ipv4,55.36414552,1,0,0
