config,hop,module,helloOverhead,DDOverhead,LSROverhead,LSUOverhead,LSACKOverhead,total
fail10_test1,1,0.0.1.1,17980,48756,396,19328,4316,90776
fail10_test1,1,0.0.1.2,17020,69000,360,17756,6332,110468
fail10_test1,1,0.0.1.3,17300,73172,468,24244,7112,122296
fail10_test1,1,0.0.1.4,16768,90952,576,18304,7896,134496
fail10_test1,1,0.0.1.5,17256,73476,432,18156,7068,116388
fail10_test1,1,0.0.1.6,18180,40876,144,22564,4384,86148
fail10_test1,1,0.0.2.1,17936,42092,288,19192,4516,84024
fail10_test1,1,0.0.2.2,17252,54324,516,19912,6056,98060
fail10_test1,1,0.0.2.3,17348,66608,288,20244,6592,111080
fail10_test1,1,0.0.2.4,17940,50416,144,21812,5412,95724
fail10_test1,1,0.0.2.5,17976,50656,1224,27928,4760,102544
fail10_test1,1,0.0.2.6,17444,64584,180,15220,6960,104388
fail10_test1,1,0.0.3.1,17688,36644,252,18336,4792,77712
fail10_test1,1,0.0.3.2,17248,65960,972,20064,5584,109828
fail10_test1,1,0.0.3.3,17248,74928,288,16540,6700,115704
fail10_test1,1,0.0.3.4,17736,49992,216,23812,5904,97660
fail10_test1,1,0.0.3.5,16132,79920,684,18564,6172,121472
fail10_test1,1,0.0.3.6,16804,65780,108,15960,6264,104916
fail10_test1,1,0.0.4.1,18076,32564,2520,18132,3052,74344
fail10_test1,1,0.0.4.2,18376,29936,144,16424,2964,67844
fail10_test1,1,0.0.4.3,17640,53372,1008,20592,5436,98048
fail10_test1,1,0.0.4.4,17252,71868,432,22120,6616,118288
fail10_test1,1,0.0.4.5,16512,92836,144,17664,10180,137336
fail10_test1,1,0.0.4.6,17932,50612,180,24388,4576,97688
fail10_test1,1,0.0.5.1,17932,50464,228,19024,5812,93460
fail10_test1,1,0.0.5.2,18132,40892,144,18032,4392,81592
fail10_test1,1,0.0.5.3,17692,43596,984,22252,3852,88376
fail10_test1,1,0.0.5.4,17792,56932,216,20412,6060,101412
fail10_test1,1,0.0.5.5,18228,34108,180,25692,4460,82668
fail10_test1,1,0.0.5.6,17212,69820,180,14724,6832,108768
fail10_test1,1,0.0.6.1,17156,73352,540,22368,6444,119860
fail10_test1,1,0.0.6.2,17060,76256,288,17276,7864,118744
fail10_test1,1,0.0.6.3,16240,89744,900,22008,5264,134156
fail10_test1,1,0.0.6.4,17020,82768,228,24672,8368,133056
fail10_test1,1,0.0.6.5,17448,54192,792,22836,5372,100640
fail10_test1,1,0.0.6.6,17648,49016,180,23856,5844,96544
fail10_test1,1,0.0.7.1,17204,76464,360,19088,8292,121408
fail10_test1,1,0.0.7.2,18612,24404,108,27148,2228,72500
fail10_test1,1,0.0.7.3,16868,82756,432,18620,7132,125808
fail10_test1,1,0.0.7.4,16516,92332,180,24792,9500,143320
fail10_test1,1,0.0.7.5,16820,73488,216,19424,7924,117872
fail10_test1,1,0.0.7.6,17456,68268,144,22800,8420,117088
fail10_test1,1,0.0.8.1,17592,60216,180,22088,6516,106592
fail10_test1,1,0.0.8.2,17836,53048,216,20676,4524,96300
fail10_test1,1,0.0.8.3,16416,89800,1560,24368,6844,138988
fail10_test1,1,0.0.8.4,16616,68176,948,14328,4192,104260
fail10_test1,1,0.0.8.5,17932,34116,432,20260,1932,74672
fail10_test1,1,0.0.8.6,17248,69380,216,17364,5764,109972
fail10_test1,1,0.0.9.1,16808,65360,1332,21140,5900,110540
fail10_test1,1,0.0.9.2,16952,64112,288,19256,5176,105784
fail10_test1,1,0.0.9.3,16572,92580,396,18704,8896,137148
