config,hop,noEntryCnt,stubCnt,loopCnt,total
fail10_test1,1,53,0,0,53
fail10_test2,1,100,0,22,122
fail10_test3,1,123,0,1,124
fail10_test4,1,51,0,34,85
fail10_test5,1,187,0,0,187
