config,hop,module,simtime,isNoEntry,isStub,isLoop
fail10_test1,4,Network.ospfRouter_4_5.ipv4,51.58891904,1,0,0
fail10_test1,4,Network.ospfRouter_2_4.ipv4,51.6578974,1,0,0
fail10_test1,4,Network.ospfRouter_2_6.ipv4,51.80827268,1,0,0
fail10_test1,4,Network.ospfRouter_2_6.ipv4,51.88139916,1,0,0
fail10_test1,4,Network.ospfRouter_2_6.ipv4,51.98139916,1,0,0
fail10_test1,4,Network.ospfRouter_2_6.ipv4,52.08141532,1,0,0
fail10_test1,4,Network.ospfRouter_2_6.ipv4,52.18139916,1,0,0
fail10_test1,4,Network.ospfRouter_2_4.ipv4,52.27632916,1,0,0
fail10_test1,4,Network.ospfRouter_2_4.ipv4,52.37632916,1,0,0
fail10_test1,4,Network.ospfRouter_2_6.ipv4,52.50320268,1,0,0
fail10_test1,4,Network.ospfRouter_2_6.ipv4,52.57632916,1,0,0
fail10_test1,4,Network.ospfRouter_2_6.ipv4,52.67632916,1,0,0
fail10_test1,4,Network.ospfRouter_2_6.ipv4,52.78139916,1,0,0
fail10_test1,4,Network.ospfRouter_2_6.ipv4,52.88139916,1,0,0
fail10_test1,4,Network.ospfRouter_2_6.ipv4,52.98139916,1,0,0
fail10_test1,4,Network.ospfRouter_2_6.ipv4,53.08142012,1,0,0
fail10_test1,4,Network.ospfRouter_1_2.ipv4,53.1031488,1,0,0
fail10_test1,4,Network.ospfRouter_6_2.ipv4,53.2924276,1,0,0
fail10_test1,4,Network.ospfRouter_6_2.ipv4,53.29243544,1,0,0
fail10_test1,4,Network.ospfRouter_6_2.ipv4,53.36414552,1,0,0
fail10_test1,4,Network.ospfRouter_6_2.ipv4,53.46414552,1,0,0
fail10_test1,4,Network.ospfRouter_6_2.ipv4,53.56414552,1,0,0
fail10_test1,4,Network.ospfRouter_6_2.ipv4,53.66414552,1,0,0
fail10_test1,4,Network.ospfRouter_8_4.ipv4,53.73726976,1,0,0
fail10_test1,4,Network.ospfRouter_8_4.ipv4,53.83726976,1,0,0
fail10_test1,4,Network.ospfRouter_8_4.ipv4,53.93726976,1,0,0
fail10_test1,4,Network.ospfRouter_8_4.ipv4,54.03726976,1,0,0
