config,hop,module,helloOverhead,DDOverhead,LSROverhead,LSUOverhead,LSACKOverhead,total
fail10_test2,4,0.0.3.3,17244,75176,36,313580,79784,485820
fail10_test2,4,0.0.3.4,17492,62796,396,343016,85800,509500
fail10_test2,4,0.0.3.5,17684,47112,0,338936,80288,484020
fail10_test2,4,0.0.3.6,17492,61836,0,325200,100576,505104
fail10_test2,4,0.0.4.1,17440,63228,36,330436,95856,506996
fail10_test2,4,0.0.4.2,17500,67428,0,331404,93008,509340
fail10_test2,4,0.0.4.3,17688,57012,0,321716,96044,492460
fail10_test2,4,0.0.4.4,17928,52544,36,338904,100688,510100
fail10_test2,4,0.0.4.5,18080,25932,36,347196,101736,492980
fail10_test2,4,0.0.4.6,17636,62740,36,343000,94132,517544
fail10_test2,4,0.0.5.1,17928,49556,36,330508,102932,500960
fail10_test2,4,0.0.5.2,17400,57444,36,321824,98604,495308
fail10_test2,4,0.0.5.3,17244,78384,72,319584,88776,504060
fail10_test2,4,0.0.5.4,17448,54344,396,330524,89472,492184
fail10_test2,4,0.0.5.5,17692,30112,0,318204,87348,453356
fail10_test2,4,0.0.5.6,17892,46424,36,333900,96132,494384
fail10_test2,4,0.0.6.1,18172,32996,36,284404,92748,428356
fail10_test2,4,0.0.6.2,16724,80628,72,292532,83996,473952
fail10_test2,4,0.0.6.3,16884,93088,108,275256,83928,469264
fail10_test2,4,0.0.6.4,16860,98072,192,259216,75664,450004
fail10_test2,4,0.0.6.5,17404,58256,756,283200,66680,426296
fail10_test2,4,0.0.6.6,16712,90880,108,254804,73548,436052
fail10_test2,4,0.0.7.1,17056,67632,108,302912,82220,469928
fail10_test2,4,0.0.7.2,17688,57912,36,328352,99976,503964
fail10_test2,4,0.0.7.3,18416,32148,0,334248,105604,490416
fail10_test2,4,0.0.7.4,17488,66920,36,288884,87724,461052
fail10_test2,4,0.0.7.5,16760,79896,612,248544,57196,403008
fail10_test2,4,0.0.7.6,16568,99160,72,250848,70972,437620
fail10_test2,4,0.0.8.1,17248,66028,216,290948,79484,453924
fail10_test2,4,0.0.8.2,17536,54408,36,336616,87888,496484
fail10_test2,4,0.0.8.3,18176,33852,0,329476,109352,490856
fail10_test2,4,0.0.8.4,17500,62640,72,316612,89640,486464
fail10_test2,4,0.0.8.5,17884,37712,504,287148,72620,415868
fail10_test2,4,0.0.8.6,17884,46492,36,270816,76868,412096
fail10_test2,4,0.0.9.1,17740,46212,36,336524,90344,490856
fail10_test2,4,0.0.9.2,17740,44888,0,345572,98144,506344
fail10_test2,4,0.0.9.3,18076,37460,36,353236,100300,509108
fail10_test2,4,0.0.9.4,17880,40696,72,330944,92996,482588
fail10_test2,4,0.0.9.5,17348,41500,1476,339712,60112,460148
fail10_test2,4,0.0.9.6,17932,50260,0,280312,74764,423268
fail10_test2,4,0.0.10.1,18080,37848,360,294344,84192,434824
fail10_test2,4,0.0.10.2,17548,51864,180,279288,83736,432616
fail10_test2,4,0.0.10.3,17248,58648,36,298016,85928,459876
fail10_test2,4,0.0.10.4,17200,64100,36,298140,89516,468992
fail10_test2,4,0.0.10.5,17932,39432,36,274632,81936,413968
fail10_test2,4,0.0.10.6,18128,39312,108,288924,88640,435112
fail10_test2,4,0.0.11.1,17052,70976,108,248036,63588,399760
fail10_test2,4,0.0.11.2,17340,70208,1116,283212,58504,430380
fail10_test2,4,0.0.11.3,17692,55612,0,273272,66520,413096
fail10_test2,4,0.0.11.4,16960,75776,36,284252,83064,460088
fail10_test2,4,0.0.11.5,16812,87568,720,289316,66772,461188
fail10_test2,4,0.0.11.6,16576,85812,36,237320,63168,402912
fail10_test3,4,0.0.1.1,18140,30856,936,331616,78884,460432
fail10_test3,4,0.0.1.2,17208,69440,252,287048,79884,453832
fail10_test3,4,0.0.1.3,17452,60556,396,268644,82604,429652
fail10_test3,4,0.0.1.4,17208,55580,1440,258148,47992,380368
fail10_test3,4,0.0.1.5,16564,82656,636,230260,58616,388732
