config,hop,noEntryCnt,stubCnt,loopCnt,total
fail10_test1,4,112,0,0,112
fail10_test2,4,100,0,0,100
fail10_test3,4,101,0,0,101
fail10_test4,4,66,0,0,66
fail10_test5,4,150,0,0,150
