config,hop,noEntryCnt,stubCnt,loopCnt,total
fail10_test1,1,52,0,0,52
fail10_test2,1,101,0,0,101
fail10_test3,1,102,0,0,102
fail10_test4,1,52,0,0,52
fail10_test5,1,102,0,0,102
