config,hop,noEntryCnt,stubCnt,loopCnt,total
fail20_test1,4,268,0,43,311
fail20_test2,4,7,0,62,69
fail20_test3,4,103,0,74,177
fail20_test4,4,344,0,55,399
fail20_test5,4,5,0,136,141
