config,hop,module,helloOverhead,DDOverhead,LSROverhead,LSUOverhead,LSACKOverhead,total
fail20_test1,4,0.0.1.1,15024,106328,2280,272060,36296,431988
fail20_test1,4,0.0.1.2,14728,118588,1248,235540,46024,416128
fail20_test1,4,0.0.1.3,15028,114896,1020,238404,51036,420384
fail20_test1,4,0.0.1.4,15700,100608,900,246220,57396,420824
fail20_test1,4,0.0.1.5,17008,74208,432,249776,85424,426848
fail20_test1,4,0.0.1.6,16280,77736,480,242712,63344,400552
fail20_test1,4,0.0.2.1,14768,103492,1404,233928,45632,399224
fail20_test1,4,0.0.2.2,16168,90740,180,266480,69784,443352
fail20_test1,4,0.0.2.3,16568,85844,180,279452,82124,464168
fail20_test1,4,0.0.2.4,15788,96324,1488,307204,57596,478400
fail20_test1,4,0.0.2.5,16436,69868,72,259932,77060,423368
fail20_test1,4,0.0.2.6,16568,80484,156,242796,80608,420612
fail20_test1,4,0.0.3.1,14128,132900,1596,212416,27592,388632
fail20_test1,4,0.0.3.2,16964,81256,72,286372,89488,474152
fail20_test1,4,0.0.3.3,19200,0,0,357952,131604,508756
fail20_test1,4,0.0.3.4,16620,66784,1824,321372,52012,458612
fail20_test1,4,0.0.3.5,15056,115556,612,207852,49448,388524
fail20_test1,4,0.0.3.6,15444,109204,1356,212780,43056,381840
fail20_test1,4,0.0.4.1,15544,103192,348,167084,44900,331068
fail20_test1,4,0.0.4.2,14820,144220,408,213556,61908,434912
fail20_test1,4,0.0.4.3,16372,91324,684,287868,87476,483724
fail20_test1,4,0.0.4.4,15880,100528,408,195428,49784,362028
fail20_test1,4,0.0.4.5,15060,105204,2196,190180,26092,338732
fail20_test1,4,0.0.4.6,14428,120168,792,109924,12068,257380
fail20_test1,4,0.0.5.1,15492,99080,1476,220568,43280,379896
fail20_test1,4,0.0.5.2,13872,137600,1752,247988,28776,429988
fail20_test1,4,0.0.5.3,16136,80060,996,263180,62520,422892
fail20_test1,4,0.0.5.4,15008,103348,1884,207100,37932,365272
fail20_test1,4,0.0.5.5,15256,110460,168,151592,28876,306352
fail20_test1,4,0.0.5.6,15888,89012,36,128284,34712,267932
fail20_test1,4,0.0.6.1,15540,96956,1080,242360,68112,424048
fail20_test1,4,0.0.6.2,15696,88468,396,253000,62120,419680
fail20_test1,4,0.0.6.3,19200,0,0,279676,118564,417440
fail20_test1,4,0.0.6.4,16080,93628,300,230608,64464,405080
fail20_test1,4,0.0.6.5,15108,98828,2016,237908,31836,385696
fail20_test1,4,0.0.6.6,16164,82764,180,168280,53808,321196
fail20_test1,4,0.0.7.1,15784,108492,1356,278252,53888,457772
fail20_test1,4,0.0.7.2,15152,134200,252,272360,67012,488976
fail20_test1,4,0.0.7.3,16368,100272,324,292128,91488,500580
fail20_test1,4,0.0.7.4,15024,144316,1476,258840,47936,467592
fail20_test1,4,0.0.7.5,15592,93780,444,166984,30448,307248
fail20_test1,4,0.0.7.6,15748,108796,1080,179148,40072,344844
fail20_test1,4,0.0.8.1,15652,91964,1668,300856,57996,468136
fail20_test1,4,0.0.8.2,16376,106524,108,301324,88328,512660
fail20_test1,4,0.0.8.3,16180,95800,396,290932,86948,490256
fail20_test1,4,0.0.8.4,15924,91988,1620,272636,49472,431640
fail20_test1,4,0.0.8.5,15512,93168,72,214016,59668,382436
fail20_test1,4,0.0.8.6,15352,102728,240,191380,42364,352064
fail20_test1,4,0.0.9.1,15160,93444,1200,286828,55560,452192
