config,hop,successRatio,avgDelay
fail10_test1,1,0.946,0.071509606045
fail10_test2,1,0.897,0.072136540035
fail10_test3,1,0.897,0.066716362452
fail10_test4,1,0.945,0.076380639063
fail10_test5,1,0.897,0.074723395426
