config,hop,module,noEntryCnt,loopCnt,total
fail20_test5,1,Network.ospfRouter_10_2.ipv4,0,0,0,
fail20_test5,1,Network.ospfRouter_10_3.ipv4,0,0,0,
fail20_test5,1,Network.ospfRouter_10_4.ipv4,0,0,0,
fail20_test5,1,Network.ospfRouter_10_5.ipv4,0,0,0,
fail20_test5,1,Network.ospfRouter_10_6.ipv4,0,0,0,
fail20_test5,1,Network.ospfRouter_11_1.ipv4,0,0,0,
fail20_test5,1,Network.ospfRouter_11_2.ipv4,0,0,0,
fail20_test5,1,Network.ospfRouter_11_3.ipv4,0,0,0,
fail20_test5,1,Network.ospfRouter_11_4.ipv4,0,0,0,
fail20_test5,1,Network.ospfRouter_11_5.ipv4,0,0,0,
fail20_test5,1,Network.ospfRouter_11_6.ipv4,0,0,0,
