config,hop,module,helloOverhead,DDOverhead,LSROverhead,LSUOverhead,LSACKOverhead,total
fail10_test1,0,0.0.1.1,17980,48956,384,0,220,67540
fail10_test1,0,0.0.1.2,17020,57196,1044,120,176,75556
fail10_test1,0,0.0.1.3,17300,73612,408,240,264,91824
fail10_test1,0,0.0.1.4,16768,91432,576,360,308,109444
fail10_test1,0,0.0.1.5,17256,73696,408,360,264,91984
fail10_test1,0,0.0.1.6,18180,41056,108,360,44,59748
fail10_test1,0,0.0.2.1,17936,42312,288,120,176,60832
fail10_test1,0,0.0.2.2,17252,58732,444,240,88,76756
fail10_test1,0,0.0.2.3,17348,66908,324,180,220,84980
fail10_test1,0,0.0.2.4,17940,50656,156,480,44,69276
fail10_test1,0,0.0.2.5,17976,54964,468,480,44,73932
fail10_test1,0,0.0.2.6,17444,64664,180,600,132,83020
fail10_test1,0,0.0.3.1,17688,36864,300,120,152,55124
fail10_test1,0,0.0.3.2,17248,74348,360,600,44,92600
fail10_test1,0,0.0.3.3,17248,79548,288,480,176,97740
fail10_test1,0,0.0.3.4,17736,50532,576,180,132,69156
fail10_test1,0,0.0.3.5,16132,88828,660,360,176,106156
fail10_test1,0,0.0.3.6,16804,70320,72,660,44,87900
fail10_test1,0,0.0.4.1,18076,36792,2016,0,176,57060
fail10_test1,0,0.0.4.2,18376,34216,180,120,132,53024
fail10_test1,0,0.0.4.3,17640,57660,504,480,44,76328
fail10_test1,0,0.0.4.4,17252,72428,396,240,264,90580
fail10_test1,0,0.0.4.5,16512,89368,360,1020,44,107304
fail10_test1,0,0.0.4.6,17932,46752,144,240,88,65156
fail10_test1,0,0.0.5.1,17932,50604,204,240,176,69156
fail10_test1,0,0.0.5.2,18132,40992,144,240,132,59640
fail10_test1,0,0.0.5.3,17692,56052,228,180,132,74284
fail10_test1,0,0.0.5.4,17792,57412,180,480,88,75952
fail10_test1,0,0.0.5.5,18228,34248,144,240,88,52948
fail10_test1,0,0.0.5.6,17212,70000,252,720,132,88316
fail10_test1,0,0.0.6.1,17156,73532,444,120,264,91516
fail10_test1,0,0.0.6.2,17060,76716,324,600,176,94876
fail10_test1,0,0.0.6.3,16240,110768,648,660,220,128536
fail10_test1,0,0.0.6.4,17020,83428,264,720,132,101564
fail10_test1,0,0.0.6.5,17448,58660,576,240,264,77188
