config,hop,successRatio,avgDelay
fail10_test1,0,0.981,0.074034013251
fail10_test2,0,0.998,0.076618584088
fail10_test3,0,1.0,0.0696514176
fail10_test4,0,0.936,0.091629963076
fail10_test5,0,0.944,0.079446843093
