config,hop,noEntryCnt,stubCnt,loopCnt,total
fail10_test1,0,18,0,0,18
fail10_test2,0,0,0,0,0
fail10_test3,0,0,0,0,0
fail10_test4,0,9,0,58,67
fail10_test5,0,24,0,35,59
